id	name	diversity
CHN	China	521
IND	India	914
USA	United States	333
IDN	Indonesia	816
BRA	Brazil	99
PAK	Pakistan	752
BGD	Bangladesh	318
NGA	Nigeria	890
RUS	Russia	283
JPN	Japan	35
MEX	Mexico	106
PHL	Philippines	842
VNM	Vietnam	267
ETH	Ethiopia	862
DEU	Germany	336
EGY	Egypt	512
TUR	Turkey	345
COD	Democratic Republic of the Congo	948
IRN	Iran	638
THA	Thailand	752
FRA	France	252
GBR	United Kingdom	154
ITA	Italy	460
MMR	Burma	0
ZAF	South Africa	871
KOR	Korea, South	1
UKR	Ukraine	489
COL	Colombia	19
SDN	Sudan	307
TZA	Tanzania	871
ARG	Argentina	165
ESP	Spain	276
KEN	Kenya	927
POL	Poland	50
DZA	Algeria	360
CAN	Canada	603
UGA	Uganda	929
MAR	Morocco	461
PER	Peru	339
IRQ	Iraq	761
SAU	Saudi Arabia	427
AFG	Afghanistan	790
NPL	Nepal	755
UZB	Uzbekistan	466
VEN	Venezuela	40
MYS	Malaysia	735
GHA	Ghana	858
YEM	Yemen	581
TWN	Taiwan	489
PRK	North Korea	0
SYR	Syria	363
ROU	Romania	153
MOZ	Mozambique	926
AUS	Australia	274
LKA	Sri Lanka	446
MDG	Madagascar	789
CIV	Cote d'Ivoire	900
CMR	Cameroon	974
NLD	Netherlands	405
CHL	Chile	36
BFA	Burkina Faso	721
NER	Niger	571
KAZ	Kazakhstan	514
MWI	Malawi	692
ECU	Ecuador	182
KHM	Cambodia	101
SEN	Senegal	778
MLI	Mali	873
GTM	Guatemala	518
AGO	Angola	748
ZMB	Zambia	830
ZWE	Zimbabwe	597
CUB	Cuba	1
RWA	Rwanda	89
GRC	Greece	123
PRT	Portugal	66
TUN	Tunisia	122
TCD	Chad	933
BEL	Belgium	700
GIN	Guinea	748
CZE	Czech Republic	72
SOM	Somalia	350
BOL	Bolivia	565
HUN	Hungary	33
BDI	Burundi	7
DOM	Dominican Republic	40
BLR	Belarus	411
HTI	Haiti	0
SWE	Sweden	226
BEN	Benin	933
AZE	Azerbaijan	202
AUT	Austria	234
HND	Honduras	39
CHE	Switzerland	683
TJK	Tajikistan	276
ISR	Israel	719
SRB	Serbia	224
BGR	Bulgaria	226
HKG	Hong Kong	205
LAO	Laos	697
LBY	Libya	538
JOR	Jordan	498
PRY	Paraguay	215
TGO	Togo	905
PNG	Papua New Guinea	990
SLV	El Salvador	3
NIC	Nicaragua	52
ERI	Eritrea	672
DNK	Denmark	89
KGZ	Kyrgyzstan	459
SVK	Slovakia	247
FIN	Finland	172
SLE	Sierra Leone	841
ARE	United Arab Emirates	707
TKM	Turkmenistan	457
CAF	Central African Republic	959
SGP	Singapore	761
NOR	Norway	67
BIH	Bosnia and Herzegovina	694
GEO	Georgia (country)	550
CRI	Costa Rica	36
HRV	Croatia	102
MDA	Moldova	389
NZL	New Zealand	291
IRL	Ireland	118
COG	Democratic Republic of the Congo	948
LBN	Lebanon	198
PRI	Puerto Rico	60
LBR	Liberia	917
ALB	Albania	503
LTU	Lithuania	404
URY	Uruguay	111
PAN	Panama	287
MRT	Mauritania	228
MNG	Mongolia	179
OMN	Oman	698
ARM	Armenia	53
JAM	Jamaica	17
KWT	Kuwait	605
PSE	West Bank	0
LVA	Latvia	526
NAM	Namibia	779
MKD	Republic of Macedonia	495
BWA	Botswana	397
SVN	Slovenia	167
LSO	Lesotho	91
GMB	The Gambia	776
KWT	Kosovo	0
149	Gaza Strip	0
GNB	Guinea-Bissau	859
GAB	Gabon	846
SWZ	Swaziland	209
153	Mauritius	216
EST	Estonia	473
TTO	Trinidad and Tobago	599
TLS	Timor-Leste	819
CYP	Cyprus	444
FJI	Fiji	632
QAT	Qatar	825
160	Comoros	551
GUY	Guyana	514
DJI	Djibouti	504
163	Bahrain	658
BTN	Bhutan	827
MNE	Montenegro	244
GNQ	Equatorial Guinea	284
SLB	Solomon Islands	968
168	Macau	253
169	Cape Verde	70
LUX	Luxembourg	622
ESH	Western Sahara	0
SUR	Suriname	709
173	Malta	255
174	Maldives	10
BRN	Brunei	570
BLZ	Belize	721
BHS	The Bahamas	509
ISL	Iceland	7
179	French Polynesia	463
180	Barbados	500
181	Mayotte	438
NCL	New Caledonia	750
183	Netherlands Antilles	266
VUT	Vanuatu	973
185	Samoa	174
186	Sao Tome and Principe	0
187	Saint Lucia	20
188	Tonga	29
189	Virgin Islands	500
190	Grenada	64
191	Federated States of Micronesia	751
192	Aruba	429
193	Saint Vincent and the Grenadines	10
194	Kiribati	19
195	Jersey	136
196	Seychelles	116
197	Antigua and Barbuda	515
198	Andorra	671
199	Isle of Man	0
DOM	Dominica	313
201	Bermuda	76
202	American Samoa	210
203	Marshall Islands	457
204	Guernsey	7
GRL	Greenland	196
206	Cayman Islands	475
207	Saint Kitts and Nevis	12
208	Faroe Islands	0
209	Northern Mariana Islands	719
210	Liechtenstein	92
211	San Marino	0
212	Monaco	652
213	Saint Martin	0
214	Gibraltar	511
215	British Virgin Islands	500
216	Turks and Caicos Islands	146
217	Palau	470
218	Akrotiri	0
219	Dhekelia	0
220	Wallis and Futuna	548
221	Anguilla	141
222	Nauru	487
223	Cook Islands	232
224	Tuvalu	20
225	Saint Helena, Ascension, and Tristan da Cunha	0
226	Saint Barthelemy	0
227	Saint Pierre and Miquelon	110
228	Montserrat	50
FLK	Falkland Islands (Islas Malvinas)	0
230	Norfolk Island	325
231	Svalbard	0
232	Christmas Island	0
233	Tokelau	679
234	Niue	192
235	Holy See (Vatican City)	0
236	Cocos (Keeling) Islands	0
237	Pitcairn Islands	0
ATA	Antarctica	0
ATF	French Southern and Antarctic Lands	0
SDS	South Sudan	929
ABV	Somaliland	350
OSA	Kosovo	0
